Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score
672,The Glass Castle,Jeannette Walls,4.32,"1,254,060","First published January 1, 2005"," is a remarkable memoir of resilience and redemption, and a revelatory look into a family at once deeply dysfunctional and uniquely vibrant. When sober, Jeannette's brilliant and charismatic father captured his children's imagination, teaching them physics, geology, and how to embrace life fearlessly. But when he drank, he was dishonest and destructive. Her mother was a free spirit who abhorred the idea of domesticity and didn't want the responsibility of raising a family. ","65,547",288,Paperback,"14,705"
678,"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,4.47,"1,407,443","First published February 16, 2021","Nesta Archeron has always been prickly-proud, swift to anger, and slow to forgive. And ever since being forced into the Cauldron and becoming High Fae against her will, she's struggled to find a place for herself within the strange, deadly world she inhabits. Worse, she can't seem to move past the horrors of the war with Hybern and all she lost in it.","123,775",757,Hardcover,"14,606"
676,All the King's Men,Robert Penn Warren,4.09,"64,324","First published January 1, 1946"," is a 1946 novel by Robert Penn Warren. Its title is drawn from the nursery rhyme ""Humpty Dumpty"". The novel tells the story of charismatic populist governor Willie Stark and his political machinations in the Depression-era Deep South. It is commonly thought to have been loosely inspired by the real-life story of U.S. Senator Huey P. Long, who was assassinated in 1935. Warren won the Pulitzer Prize for ","3,348",439,Paperback,"14,639"
675,Gray After Dark,Noelle W. Ihli,4.25,"27,354","First published March 22, 2024","When a tragic accident sidelines Miley's dreams of Olympic gold, she takes a summer job at a mountain guest lodge.","2,568",370,Kindle Edition,"14,643"
679,"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,4.15,"286,425","First published November 8, 2011",It began with ,"12,472",849,Hardcover,"14,560"
669,The Merchant of Venice,William Shakespeare,3.78,"191,914","First published January 1, 1596","In this lively comedy of love and money in sixteenth-century Venice, Bassanio wants to impress the wealthy heiress Portia but lacks the necessary funds. He turns to his merchant friend, Antonio, who is forced to borrow from Shylock, a Jewish moneylender. When Antonio's business falters, repayment becomes impossible--and by the terms of the loan agreement, Shylock is able to demand a pound of Antonio's flesh. Portia cleverly intervenes, and all ends well (except of course for Shylock).","5,890",249,Mass Market Paperback,"14,729"
673,House of Leaves,Mark Z. Danielewski,4.09,"177,420","First published May 7, 2000",A young family moves into a small home on Ash Tree Lane where they discover something is terribly wrong: their house is bigger on the inside than it is on the outside.,"18,364",710,Paperback,"14,690"
664,Verity,Colleen Hoover,4.31,"3,002,814","First published December 7, 2018","Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of bestselling author Verity Crawford, has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish.","255,369",336,ebook,"14,936"
667,"Guards! Guards! (Discworld, #8; City Watch, #1)",Terry Pratchett,4.34,"215,857","First published August 1, 1989","This is where the dragons went. They lie... not dead, not asleep, but... dormant. And although the space they occupy isn't like normal space, nevertheless they are packed in tightly. They could put you in mind of a can of sardines, if you thought sardines were huge and scaly. And presumably, somewhere, there's a key...","7,784",376,Mass Market Paperback,"14,822"
671,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,3.98,"117,190","First published November 1, 1962",First published in the Soviet journal ,"6,307",182,Paperback,"14,712"
668,"The Secret (The Secret, #1)",Rhonda Byrne,3.73,"492,620","First published November 28, 2006","In 2006, a groundbreaking feature-length film revealed the great mystery of the universe—","16,328",199,Hardcover,"14,811"
662,"Wicked Lovely (Wicked Lovely, #1)",Melissa Marr,3.70,"164,477","First published June 12, 2007",Rule #3: ,"7,528",328,Hardcover,"14,943"
658,"1Q84 (1Q84, #1-3)",Haruki Murakami,3.96,"333,287","First published August 28, 2009","A young woman named Aomame follows a taxi driver’s enigmatic suggestion and begins to notice puzzling discrepancies in the world around her. She has entered, she realizes, a parallel existence, which she calls 1Q84 —“Q is for ‘question mark.’ A world that bears a question.” Meanwhile, an aspiring writer named Tengo takes on a suspect ghostwriting project. He becomes so wrapped up with the work and its unusual author that, soon, his previously placid life begins to come unraveled. ","26,631",944,Hardcover,"15,004"
670,"Carry On (Simon Snow, #1)",Rainbow Rowell,4.17,"319,645","First published October 6, 2015",Simon Snow is the worst Chosen One who's ever been chosen.,"37,466",522,Paperback,"14,716"
657,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.31,"306,910","First published June 1, 2006","An orphan’s life is harsh—and often short—in the mysterious island city of Camorr. But young Locke Lamora dodges death and slavery, becoming a thief under the tutelage of a gifted con artist. As leader of the band of light-fingered brothers known as the Gentleman Bastards, Locke is soon infamous, fooling even the underworld’s most feared ruler. But in the shadows lurks someone still more ambitious and deadly. Faced with a bloody coup that threatens to destroy everyone and everything that holds meaning in his mercenary life, Locke vows to beat the enemy at his own brutal game—or die trying.","21,639",752,Kindle Edition,"15,043"
659,"The Silver Chair (Chronicles of Narnia, #4)",C.S. Lewis,3.96,"307,059","First published September 7, 1953",.,"9,238",243,Paperback,"14,993"
666,A Brief History of Time,Stephen Hawking,4.21,"443,803","First published September 1, 1988","A landmark volume in science writing by one of the great minds of our time, Stephen Hawking’s book explores such profound questions as: How did the universe begin—and what made its start possible? Does time always flow forward? Is the universe unending—or are there boundaries? Are there other dimensions in space? What will happen when it all ends?","12,942",226,Paperback,"14,890"
654,"The Bean Trees (Greer Family, #1)",Barbara Kingsolver,4.00,"162,197","First published December 1, 1988","Clear-eyed and spirited, Taylor Greer grew up poor in rural Kentucky with the goals of avoiding pregnancy and getting away. But when she heads west with high hopes and a barely functional car, she meets the human condition head-on. By the time Taylor arrives in Tucson, Arizona, she has acquired a completely unexpected child, a three-year-old American Indian girl named Turtle, and must somehow come to terms with both motherhood and the necessity for putting down roots. Hers is a story about love and friendship, abandonment and belonging, and the discovery of surprising resources in apparently empty places.","8,245",232,Paperback,"15,171"
661,Before I Fall,Lauren Oliver,3.89,"340,494","First published February 14, 2010","With this stunning debut novel, ","22,054",470,Paperback,"14,949"
663,"Captive in the Dark (The Dark Duet, #1)",C.J. Roberts,3.94,"73,756","First published August 29, 2011","Caleb is a man with a singular interest in revenge. Kidnapped as a young boy and sold into slavery by a power-hungry mobster, he has thought of nothing but vengeance. For twelve years he has immersed himself in the world of pleasure slaves searching for the one man he holds ultimately responsible. Finally, the architect of his suffering has emerged with a new identity, but not a new nature. If Caleb is to get close enough to strike, he must become the very thing he abhors and kidnap a beautiful girl to train her to be all that he once was.","6,496",276,Nook,"14,939"
660,"The Scorch Trials (The Maze Runner, #2)",James Dashner,3.90,"598,559","First published October 12, 2010",  ,"31,264",362,Hardcover,"14,968"
651,"P.S. I Love You (P.S. I Love You, #1)",Cecelia Ahern,4.03,"385,674","First published February 3, 2004", ,"9,950",501,Paperback,"15,197"
656,"Dome: Rebellion (Dome, #1)",Johnathon Nicolaou,4.40,321,"Published January 8, 2023","100 years in the future… The world is a post apocalyptic wasteland. What was once thriving with life is now a desolate wilderness. The earth is scorched, the air is toxic, and the world is ruled by mutant monsters. All that remains of humanity lives within a Dome – the only barrier between the last descendants of mankind and the deadly terrors of the outside world.",47,197,Kindle Edition,"15,141"
655,"A Dog's Purpose (A Dog's Purpose, #1)",W. Bruce Cameron,4.35,"134,959","First published July 1, 2010","This is the remarkable story of one endearing dog's search for his purpose over the course of several lives. More than just another charming dog story, this touches on the universal quest for an answer to life's most basic question: Why are we here? ","14,834",319,Hardcover,"15,161"
647,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,4.01,"328,241","First published January 1, 1968","Ged, the greatest sorcerer in all Earthsea, was called Sparrowhawk in his reckless youth. ","16,868",183,Paperback,"15,377"
653,"The Queen of the Damned (The Vampire Chronicles, #3)",Anne Rice,3.92,"154,862","First published January 1, 1988","In 1976, a uniquely seductive world of vampires was unveiled in the now-classic ","3,333",448,Paperback,"15,185"
652,Miracle,Johnathon Nicolaou,4.54,260,"Published March 24, 2023","Connor, who in his final year of school has his life turned upside down when he meets beautiful and confident Sydney, who vows to help him finally work up the courage to tell his longtime crush, Mackenzie, how he feels about her. Supported by his two best friends, Sam, and Mart, Connor’s final year is like none other, taking him on a roller coaster ride of, humour, love, and heartbreak, helping him evolve into something more…",40,311,Kindle Edition,"15,186"
644,The Love Hypothesis,Ali Hazelwood,4.13,"1,502,790","First published September 14, 2021","As a third-year Ph.D. candidate, Olive Smith doesn't believe in lasting romantic relationships--but her best friend does, and that's what got her into this situation. Convincing Anh that Olive is dating and well on her way to a happily ever after was always going to take more than hand-wavy Jedi mind tricks: Scientists require proof. So, like any self-respecting biologist, Olive panics and kisses the first man she sees.","159,673",383,Paperback,"15,721"
649,"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,4.45,"769,568","First published January 1, 2018","Charlie, a highly-strung, openly gay over-thinker, and Nick, a cheerful, soft-hearted rugby player, meet at a British all-boys grammar school. Friendship blooms quickly, but could there be something more...?","76,681",288,Paperback,"15,264"
650,"Hunted (House of Night, #5)",P.C. Cast,3.93,"185,499","First published March 10, 2009","What if the hottest guy in the world was hiding a nameless evil, and all he wanted was you? At the start of this heart-pounding new installment of the bestselling House of Night series, Zoey’s friends have her back again and Stevie Rae and the red fledglings aren’t Neferet’s secrets any longer. But an unexpected danger has emerged. Neferet guards her powerful new consort, Kalona, and no one at the House of Night seems to understand the threat he poses. Kalona looks gorgeous, and he has the House of Night under his spell. A past life holds the key to breaking his rapidly spreading influence, but what if this past life shows Zoey secrets she doesn’t want to hear and truths she can’t face?","3,894",323,Hardcover,"15,262"
643,"Sheever's Journal, Diary of a Poison Master",K.  Ritz,4.32,"8,480","Published April 26, 2019",Synopsis: ,20,410,Paperback,"15,751"
641,We Need to Talk About Kevin,Lionel Shriver,4.08,"199,705","First published April 14, 2003",Lionel Shriver's novels include the ,"17,663",400,Paperback,"15,774"
646,"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,3.97,"197,136","First published May 5, 2008","Todd Hewitt is the only boy in a town of men. Ever since the settlers were infected with the Noise germ, Todd can hear everything the men think, and they hear everything he thinks. Todd is just a month away from becoming a man, but in the midst of the cacophony, he knows that the town is hiding something from him -- something so awful Todd is forced to flee with only his dog, whose simple, loyal voice he hears too. With hostile men from the town in pursuit, the two stumble upon a strange and eerily silent creature: a girl. Who is she? Why wasn't she killed by the germ like all the females on New World? Propelled by Todd's gritty narration, readers are in for a white-knuckle journey in which a boy on the cusp of manhood must unlearn everything he knows in order to figure out who he truly is.","21,134",512,Paperback,"15,502"
648,Interpreter of Maladies,Jhumpa Lahiri,4.17,"197,213","First published April 20, 1999","Navigating between the Indian traditions they've inherited and the baffling new world, the characters in Jhumpa Lahiri's elegant, touching stories seek love beyond the barriers of culture and generations. In ""A Temporary Matter,"" published in ","14,434",198,Hardcover,"15,282"
637,Cyrano de Bergerac,Edmond Rostand,4.06,"85,806","First published January 1, 1897","This is Edmond Rostand's immortal play in which chivalry and wit, bravery and love are forever captured in the timeless spirit of romance. Set in Louis XIII's reign, it is the moving and exciting drama of one of the finest swordsmen in France, gallant soldier, brilliant wit, tragic poet-lover with the face of a clown. Rostand's extraordinary lyric powers gave birth to a universal hero--Cyrano De Bergerac--and ensured his own reputation as author of one of the best-loved plays in the literature of the stage.","3,148",240,Mass Market Paperback,"15,949"
645,A Man Called Ove,Fredrik Backman,4.38,"1,078,563","First published August 27, 2012",A grumpy yet loveable man finds his solitary world turned on its head when a boisterous young family moves in next door. ,"113,916",337,Hardcover,"15,503"
634,"They Both Die at the End (Death-Cast, #1)",Adam Silvera,3.76,"782,996","First published September 5, 2017","On September 5, a little after midnight, Death-Cast calls Mateo Torrez and Rufus Emeterio to give them some bad news: They’re going to die today.","91,244",389,Hardcover,"16,072"
642,"The Talisman (The Talisman, #1)",Stephen         King,4.11,"132,763","First published November 8, 1984","Two of the world's bestselling authors have combined their unique talents in an unforgettable epic of fantasy, adventure, odyssey - and spine-tingling terror.","5,132",656,Hardcover,"15,773"
632,Demian,Hermann Hesse,4.14,"117,744","First published January 1, 1919","Wie alle Hauptwerke Hermann Hesses hat auch der Demian, den der damals 40jährige Autor mitten im Ersten Weltkrieg schrieb, eine ebenso ungewöhnliche wie spannende Entstehungs- und Wirkungsgeschichte. Daß dieses im Herbst 1917 vollendete Buch erst im Juni 1919, ein halbes Jahr nach Kriegsende, veröffentlicht wurde, lag an der Unbekanntheit des Verfassers. Denn Hesse hatte das Manuskript dem Verlag als das Erstlingswerk eines kranken jungen Dichters empfohlen, des zeitkritischen Poeten Emil Sinclair, der bisher nur in Zeitungen und Zeitschriften durch pazifistische Mahnrufe und Erzählungen aufgefallen war (die gleichfalls von Hesse stammten). Doch trotz des Inkognitos erlebte das Buch eine geradezu stürmische Aufnahme und wurde noch im Erscheinungsjahr mit dem Fontane-Preis für das beste Erstlingswerk eines Nachwuchsautors ausgezeichnet. Thomas Mann verglich die elektrisierende Wirkung des Buches mit der von Goethes Werther, da es »mit unheimlicher Genauigkeit den Nerv der Zeit traf und eine ganze Jugend, die wähnte aus ihrer Mitte sei ihr ein Künder ihres tiefsten Lebens entstanden, zu dankbarem Entzücken hinriß«. Bis zur Entdeckung des Pseudonyms im Mai 1920 erschienen drei Auflagen, denen dann unter Hesses eigenem Namen zu seinen Lebzeiten noch 93 weitere folgten.","8,439",193,Paperback,"16,109"
638,Julius Caesar,William Shakespeare,3.70,"208,028","First published January 1, 1599",The ,"7,033",175,Paperback,"15,868"
630,The Hours,Michael Cunningham,3.95,"143,615","First published July 31, 1998",In ,"6,782",230,Paperback,"16,155"
639,"World Without End (Kingsbridge, #2)",Ken Follett,4.31,"257,179","First published October 4, 2007","World Without End takes place in the same town of Kingsbridge, two centuries after the townspeople finished building the exquisite Gothic cathedral that was at the heart of The Pillars of the Earth. The cathedral and the priory are again at the center of a web of love and hate, greed and pride, ambition and revenge, but this sequel stands on its own. This time the men and women of an extraordinary cast of characters find themselves at a crossroads of new ideas—about medicine, commerce, architecture, and justice. In a world where proponents of the old ways fiercely battle those with progressive minds, the intrigue and tension quickly reach a boiling point against the devastating backdrop of the greatest natural disaster ever to strike the human race—the Black Death.","13,708",1237,Hardcover,"15,830"
640,The Glass Menagerie,Tennessee Williams,3.73,"135,754","First published January 1, 1945","No play in the modern theater has so captured the imagination and heart of the American public as Tennessee Williams's The Glass Menagerie. As Williams's first popular success, it launched the brilliant, if somewhat controversial, career, of our pre-eminent lyric playwright. Since its premiere in Chicago in 1944, with the legendary Laurette Taylor in the role of Amanda, Menagaerie has been the bravura piece for great actresses from Jessica Tandy to Joanne Woodward, and is studied and performed in classrooms and theatres around the world. ","3,782",104,Paperback,"15,809"
628,"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons,4.29,"88,512","First published July 17, 2000","During the summer of 1941 the Metanov family are living a hard life in Leningrad. As the German armies advance their future looks bleak. For Tatiana, love arrives in the guise of Alexander, who harbours a deadly and extraordinary secret.","9,367",637,Paperback,"16,191"
635,The Arabian Nights,Anonymous,4.03,"78,270","First published January 1, 800","This volume reproduces the 1932 Modern Library edition, for which Bennett A. Cerf chose the most famous and representative stories from Sir Richard F. Burton's multivolume translation, and includes Burton's extensive and acclaimed explanatory notes. ","2,427",1049,Mass Market Paperback,"16,006"
625,Daisy Jones & The Six,Taylor Jenkins Reid,4.21,"1,604,070","First published March 5, 2019","Daisy is a girl coming of age in L.A. in the late sixties, sneaking into clubs on the Sunset Strip, sleeping with rock stars, and dreaming of singing at the Whisky a Go Go. The sex and drugs are thrilling, but it’s the rock ’n’ roll she loves most. By the time she’s twenty, her voice is getting noticed, and she has the kind of heedless beauty that makes people do crazy things.","187,898",368,Hardcover,"16,327"
636,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,4.10,"259,707","First published March 1, 1986","Now available in mass market, the revised, definitive edition of the Hugo and Nebula Award-winning classic. In this second book in the saga set 3,000 years after the terrible war, Ender Wiggin is reviled by history as the Xenocide--the destroyer of the alien Buggers. Now, Ender tells the true story of the war and seeks to stop history from repeating itself. ...","9,304",382,Paperback,"15,976"
629,"You Are Special (Wemmicksville, #1)",Max Lucado,4.45,"52,879","Published September 17, 2004",T Eres Especial Edicin de Regalo( You Are Special Gift Edition) <> Hardcover <> MaxLucado <> EditorialUnilit,"1,509",32,Hardcover,"16,170"
631,Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.36,"1,085,923","First published January 1, 2011","From a renowned historian comes a groundbreaking narrative of humanity’s creation and evolution—a #1 international bestseller—that explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be “human.” One hundred thousand years ago, at least six different species of humans inhabited Earth. Yet today there is only one—homo sapiens. What happened to the others? And what may happen to us? Most books about the history of humanity pursue either a historical or a biological approach, but Dr. Yuval Noah Harari breaks the mold with this highly original book that begins about 70,000 years ago with the appearance of modern cognition. From examining the role evolving humans have played in the global ecosystem to charting the rise of empires, Sapiens integrates history and science to reconsider accepted narratives, connect past developments with contemporary concerns, and examine specific events within the context of larger ideas. Dr. Harari also compels us to look ahead, because over the last few decades humans have begun to bend laws of natural selection that have governed life for the past four billion years. We are acquiring the ability to design not only the world around us, but also ourselves. Where is this leading us, and what do we want to become? Featuring 27 photographs, 6 maps, and 25 illustrations/diagrams, this provocative and insightful work is sure to spark debate and is essential reading for aficionados of Jared Diamond, James Gleick, Matt Ridley, Robert Wright, and Sharon Moalem.","55,620",512,Paperback,"16,150"
633,"Drums of Autumn (Outlander, #4)",Diana Gabaldon,4.35,"256,102","First published December 30, 1996",New York Times,"9,848",928,Paperback,"16,074"
623,"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,4.24,"432,295","First published February 5, 2013",Cinder is back and trying to break out of prison―even though she'll be the Commonwealth's most wanted fugitive if she does―in this second installment from Marissa Meyer. ,"39,971",454,Hardcover,"16,378"
627,"Acheron (Dark-Hunter, #14)",Sherrilyn Kenyon,4.56,"60,386","First published August 5, 2008","Eleven thousand years ago a god was born. Cursed into the body of a human, Acheron endured a lifetime of hatred. His human death unleashed an unspeakable horror that almost destroyed the earth. Brought back against his will, he became the sole defender of mankind.","3,938",723,Hardcover,"16,303"
618,Pericles and Aspasia: A Story of Ancient Greece,Yvonne Korshak,4.29,"16,055","First published October 4, 2022","STEP ASIDE, ANTONY AND PERICLES AND ASPASIA —THE LOVE STORY THAT SHAPED HISTORY",67,557,Kindle Edition,"16,506"
616,Lady Chatterley’s Lover,D.H. Lawrence,3.50,"129,059","First published January 1, 1928","Lawrence's frank portrayal of an extramarital affair and the explicit sexual explorations of its central characters caused this controversial book, now considered a masterpiece, to be banned as pornography until 1960.","8,253",376,Hardcover,"16,539"
626,"Slammed (Slammed, #1)",Colleen Hoover,4.16,"398,548","First published January 4, 2012","Following the unexpected death of her father, 18-year-old Layken is forced to be the rock for both her mother and younger brother. Outwardly, she appears resilient and tenacious, but inwardly, she's losing hope.","26,205",354,Kindle Edition,"16,306"
615,"Trainspotting (Mark Renton, #2)",Irvine Welsh,4.11,"170,016","First published January 1, 1993",Described by ,"4,256",431,Paperback,"16,619"
622,"The Goose Girl (The Books of Bayern, #1)",Shannon Hale,4.14,"144,991","First published August 4, 2003","Her name was Anidori-Kiladra Talianna Isilee, Crown Princess of Kildenree, and she spent the first years of her life listening to her aunt’s stories and learning the language of the birds, especially the swans. And when she was older, she watched as a colt was born, and she heard the first word on his tongue, his name, Falada.","11,134",383,Paperback,"16,386"
624,"The Last Unicorn (The Last Unicorn, #1)",Peter S. Beagle,4.16,"113,997","First published March 1, 1968","She was magical, beautiful beyond belief—and completely alone...","6,838",294,Paperback,"16,328"
621,"Dead to the World (Sookie Stackhouse, #4)",Charlaine Harris,4.12,"262,000","First published May 3, 2004","Sookie Stackhouse is a cocktail waitress in Bon Temps, Louisiana. She has only a few close friends, because not everyone appreciates Sookie’s gift: she can read minds. That’s not exactly every man’s idea of date bait – unless they’re undead; vampires and the like can be tough to read. And that’s just the kind of guy Sookie’s been looking for. Maybe that’s why, when she comes across a naked vampire, she doesn’t just drive on by. He hasn’t got a clue who he is, but Sookie has: Eric looks just as scary and sexy – and dead – as ever. But now he has amnesia, he’s sweet, vulnerable, and in need of Sookie’s help – because whoever took his memory now wants his life.","6,351",291,Mass Market Paperback,"16,390"
613,"Ishmael (Ishmael, #1)",Daniel Quinn,4.01,"99,379","First published January 1, 1992",An Adventure of the Mind and Spirit,"6,717",338,Kindle Edition,"16,644"
619,I Capture the Castle,Dodie Smith,3.99,"107,601","First published January 1, 1948","Through six turbulent months of 1934, 17-year-old Cassandra Mortmain keeps a journal, filling three notebooks with sharply funny yet poignant entries about her home, a ruined Suffolk castle, and her eccentric and penniless family. By the time the last diary shuts, there have been great changes in the Mortmain household, not the least of which is that Cassandra is deeply, hopelessly, in love.","11,112",408,Hardcover,"16,441"
620,"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore,3.93,"344,864","First published August 3, 2010",Nine of us came here. We look like you. We talk like you. We live among you. But we are not you. We can do things you dream of doing. We have powers you dream of having. We are stronger and faster than anything you have ever seen. We are the superheroes you worship in movies and comic books--but we are real.,"17,079",440,Hardcover,"16,436"
617,"Cress (The Lunar Chronicles, #3)",Marissa Meyer,4.41,"379,671","First published February 4, 2014","In this third book in the Lunar Chronicles, Cinder and Captain Thorne are fugitives on the run, now with Scarlet and Wolf in tow. Together, they're plotting to overthrow Queen Levana and her army.","34,573",552,Hardcover,"16,527"
609,"Du côté de chez Swann (À la recherche du temps perdu, #1)",Marcel Proust,4.15,"62,695","First published November 14, 1913","«Et tout d'un coup le souvenir m'est apparu. Ce goût, c'était celui du petit morceau de madeleine que le dimanche matin à Combray (parce que ce jour-là je ne sortais pas avant l'heure de la messe), quand j'allais lui dire bonjour dans sa chambre, ma tante Léonie m'offrait après l'avoir trempé dans son infusion de thé ou de tilleul. La vue de la petite madeleine ne m'avait rien rappelé avant que je n'y eusse goûté... Mais, quand d'un passé ancien rien ne subsiste, après la mort des êtres, après la destruction des choses, seules, plus frêles mais plus vivaces, plus immatérielles, plus persistantes, plus fidèles, l'odeur et la saveur restent encore longtemps, comme des âmes, à se rappeler, à attendre, à espérer, sur la ruine de tout le reste, à porter sans fléchir, sur leur goutelette presque impalpable, l'édifice immense du souvenir.»","5,740",710,Mass Market Paperback,"16,756"
614,The Westing Game,Ellen Raskin,4.00,"219,013","First published June 1, 1978","A bizarre chain of events begins when sixteen unlikely people gather for the reading of Samuel W. Westing's will. And though no one knows why the eccentric, game-loving millionaire has chosen a virtual stranger—and a possible murderer—to inherit his vast fortune, one thing's for sure: Sam Westing may be dead ... but that won't stop him from playing one last game!","14,842",182,Paperback,"16,642"
605,Twelfth Night,William Shakespeare,3.96,"187,477","First published January 1, 1602","Named for the twelfth night after Christmas, the end of the Christmas season, ","6,318",272,Mass Market Paperback,"16,996"
610,The Truth About Forever,Sarah Dessen,4.12,"224,284","First published May 11, 2004","That's what Macy has to look forward to while her boyfriend, Jason, is away at Brain Camp. Days will be spent at a boring job in the library, evenings will be filled with vocabulary drills for the SATs, and spare time will be passed with her mother, the two of them sharing a silent grief at the traumatic loss of Macy's father.","9,078",374,Paperback,"16,748"
603,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,3.66,"358,303","First published January 1, 2006",Tres tazas de te( La lucha de un hombre por promover la paz escuela a escuela = Three Cups of Tea) <> Paperback <> GregMortenson <> RocaEditorial,"24,140",349,Paperback,"17,039"
612,The Art of War,Sun Tzu,3.95,"509,413","First published January 1, 401","Twenty-Five Hundred years ago, Sun Tzu wrote this classic book of military strategy based on Chinese warfare and military thought. Since that time, all levels of military have used the teaching on Sun Tzu to warfare and civilization have adapted these teachings for use in politics, business and everyday life. The Art of War is a book which should be used to gain advantage of opponents in the boardroom and battlefield alike.","20,055",170,Paperback,"16,653"
611,Nine Stories,J.D. Salinger,4.18,"149,777","First published April 6, 1953","Nine Stories (1953) is a collection of short stories by American fiction writer J. D. Salinger published in April 1953. It includes two of his most famous short stories, ""A Perfect Day for Bananafish"" and ""For Esmé – with Love and Squalor"". (Nine Stories is the U.S. title; the book is published in many other countries as For Esmé - with Love and Squalor, and Other Stories.)","6,077",302,Paperback,"16,691"
606,The Silent Patient,Alex Michaelides,4.18,"2,472,001","First published February 5, 2019","Alicia Berenson’s life is seemingly perfect. A famous painter married to an in-demand fashion photographer, she lives in a grand house with big windows overlooking a park in one of London’s most desirable areas. One evening her husband Gabriel returns home late from a fashion shoot, and Alicia shoots him five times in the face, and then never speaks another word.","216,530",336,Hardcover,"16,985"
601,The Last Lecture,Randy Pausch,4.26,"350,848","First published April 8, 2008","A lot of professors give talks titled 'The Last Lecture'. Professors are asked to consider their demise and to ruminate on what matters most to them: What wisdom would we impart to the world if we knew it was our last chance? If we had to vanish tomorrow, what would we want as our legacy?","20,090",217,Kindle Edition,"17,080"
608,"The Darkest Minds (The Darkest Minds, #1)",Alexandra Bracken,4.16,"196,578","First published December 18, 2012","When Ruby woke up on her tenth birthday, something about her had changed. Something alarming enough to make her parents lock her in the garage and call the police. Something that gets her sent to Thurmond, a brutal government “rehabilitation camp.” She might have survived the mysterious disease that’s killed most of America’s children, but she and the others have emerged with something far worse: frightening abilities they cannot control.","19,506",488,Hardcover,"16,886"
581,"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles,4.04,"261,184","First published December 23, 2008","Jeden anderen hätte Brittany Ellis, wohlbehütete Beauty Queen und unangefochtene Nr. 1 an der Schule, lieber als Chemiepartner gehabt als Alex Fuentes, den zugegebenermaßen attraktiven Leader einer Gang. Und auch Alex weiß: eine explosivere Mischung als ihn und die reiche »Miss Perfecta« kann es kaum geben. Dennoch wettet er mit seinen Freunden: Binnen 14 Tagen wird es ihm gelingen, die schöne Brittany zu verführen. Womit keiner gerechnet hat: Dass aus dem gefährlichen Spiel alsbald gefährlicher Ernst wird, denn Brittany und Alex verlieben sich mit Haut und Haaren ineinander. Das aber kann die Gang, der Alex angehört, nicht zulassen …","11,679",368,Hardcover,"17,636"
604,"Silence (Hush, Hush, #3)",Becca Fitzpatrick,4.07,"286,878","First published October 4, 2011","Nora Grey can't remember the past five months of her life. After the initial shock of waking up in a cemetery and being told that she has been missing for weeks - with no one knowing where she was or who she was with - she tried to get her life back on track. Go to school, hang out with her best friend, Vee, and dodge mom's creepy new boyfriend.","9,274",440,Hardcover,"17,002"
580,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,4.25,"520,608","First published May 1, 1997","When Jon Krakauer reached the summit of Mt. Everest in the early afternoon of May 10, 1996, he hadn't slept in fifty-seven hours and was reeling from the brain-altering effects of oxygen depletion. As he turned to begin his long, dangerous descent from 29,028 feet, twenty other climbers were still pushing doggedly toward the top. No one had noticed that the sky had begun to fill with clouds. Six hours later and 3,000 feet lower, in 70-knot winds and blinding snow, Krakauer collapsed in his tent, freezing, hallucinating from exhaustion and hypoxia, but safe. The following morning, he learned that six of his fellow climbers hadn't made it back to their camp and were desperately struggling for their lives. When the storm finally passed, five of them would be dead, and the sixth so horribly frostbitten that his right hand would have to be amputated.","19,848",368,Paperback,"17,872"
602,No Country for Old Men,Cormac McCarthy,4.16,"211,536","First published July 19, 2005","In his blistering new novel, Cormac McCarthy returns to the Texas-Mexico border, the setting of his famed ","13,095",309,Paperback,"17,044"
607,"The Unbecoming of Mara Dyer (Mara Dyer, #1)",Michelle Hodkin,4.02,"186,187","First published September 27, 2011",Mara Dyer believes life can't get any stranger than waking up in a hospital with no memory of how she got there.,"19,784",456,Kindle Edition,"16,892"
583,"Little House on the Prairie (Little House, #3)",Laura Ingalls Wilder,4.21,"293,978","First published January 1, 1935","Meet Laura Ingalls, the little girl who would grow up to write the Little House books.","5,780",335,Paperback,"17,540"
