Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score
88,The Road,Cormac McCarthy,3.99,"937,494","First published September 26, 2006","A searing, postapocalyptic novel destined to become Cormac McCarthy’s masterpiece.","62,646",241,Hardcover,"333,547"
89,To Kill a Mockingbird,Harper Lee,4.26,"6,327,305","First published July 11, 1960","'Shoot all the bluejays you want, if you can hit 'em, but remember it's a sin to kill a mockingbird.'","121,142",323,Paperback,"326,111"
87,A Clockwork Orange,Anthony Burgess,4.00,"727,950","First published January 1, 1962","In Anthony Burgess's influential nightmare vision of the future, criminals take over after dark. Teen gang leader Alex narrates in fantastically inventive slang that echoes the violent intensity of youth rebelling against society. Dazzling and transgressive, ","21,794",240,Paperback,"340,016"
92,"The Shining (The Shining, #1)",Stephen         King,4.27,"1,542,046","First published January 28, 1977","Jack Torrance's new job at the Overlook Hotel is the perfect chance for a fresh start. As the off-season caretaker at the atmospheric old hotel, he'll have plenty of time to spend reconnecting with his family and working on his writing. But as the harsh winter weather sets in, the idyllic location feels ever more remote...and more sinister. And the only one to notice the strange and terrible forces gathering around the Overlook is Danny Torrance, a uniquely gifted five-year-old.","41,104",497,Paperback,"313,277"
85,A Tree Grows in Brooklyn,Betty  Smith,4.30,"477,561","First published August 18, 1943","The beloved American classic about a young girl's coming-of-age at the turn of the century, Betty Smith's ","28,486",496,Paperback,"343,422"
86,And Then There Were None,Agatha Christie,4.28,"1,421,021","First published November 6, 1939","First, there were ten—a curious assortment of strangers summoned as weekend guests to a little private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to reveal—and a secret that will seal their fate. For each has been marked for murder. A famous nursery rhyme is framed and hung in every room of the mansion:","68,954",264,Paperback,"340,605"
84,The Brothers Karamazov,Fyodor Dostoevsky,4.37,"345,640","First published January 1, 1880","The Brothers Karamazov is a murder mystery, a courtroom drama, and an exploration of erotic rivalry in a series of triangular love affairs involving the “wicked and sentimental” Fyodor Pavlovich Karamazov and his three sons―the impulsive and sensual Dmitri; the coldly rational Ivan; and the healthy, red-cheeked young novice Alyosha. Through the gripping events of their story, Dostoevsky portrays the whole of Russian life, is social and spiritual striving, in what was both the golden age and a tragic turning point in Russian culture.","20,379",796,Paperback,"357,743"
197,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.25,"559,016","First published July 1, 1988","A serial murderer known only by a grotesquely apt nickname—Buffalo Bill—is stalking women. He has a purpose, but no one can fathom it, for the bodies are discovered in different states. Clarice Starling, a young trainee at the FBI Academy, is surprised to be summoned by Jack Crawford, chief of the Bureau's Behavioral Science section. Her assignment: to interview Dr. Hannibal Lecter—Hannibal the Cannibal—who is kept under close watch in the Baltimore State Hospital for the Criminally Insane.","10,193",421,Paperback,"90,097"
200,The Neverending Story,Michael Ende,4.18,"206,625","First published September 1, 1979",This epic work of the imagination has captured the hearts of millions of readers worldwide since it was first published. Its special story within a story is an irresistible invitation for readers to become part of the book itself. ,"9,983",396,Hardcover,"88,488"
196,The Joy Luck Club,Amy Tan,3.97,"690,796","First published January 1, 1989","Four mothers, four daughters, four families, whose histories shift with the four winds depending on who's telling the stories. In 1949, four Chinese women, recent immigrants to San Francisco, meet weekly to play mahjong and tell stories of what they left behind in China. United in loss and new hope for their daughters' futures, they call themselves the Joy Luck Club. Their daughters, who have never heard these stories, think their mothers' advice is irrelevant to their modern American lives – until their own inner crises reveal how much they've unknowingly inherited of their mothers' pasts. ","13,866",352,Paperback,"90,278"
198,The Phantom Tollbooth,Norton Juster,4.20,"292,523","First published January 1, 1961",This beloved story -first published more than fifty years ago- introduces readers to Milo and his adventures in the Lands Beyond. ,"13,760",248,Paperback,"89,905"
199,"Oh, the Places You’ll Go!",Dr. Seuss,4.37,"416,459","First published January 22, 1990","In his inimitable, humorous verse and pictures, he addresses the Great Balancing Act (life itself, and the ups and downs it presents) while encouraging us to find the success that lies within us.","6,570",44,Hardcover,"89,455"
195,Alice in Wonderland,Jane Carruth,4.03,"392,202","First published January 1, 1865",.,"5,611",96,Hardcover,"90,519"
194,"The Good Earth (House of Earth, #1)",Pearl S. Buck,4.00,"252,782","First published March 2, 1931","This tells the poignant tale of a Chinese farmer and his family in old agrarian China. The humble Wang Lung glories in the soil he works, nurturing the land as it nurtures him and his family. Nearby, the nobles of the House of Hwang consider themselves above the land and its workers; but they will soon meet their own downfall.","11,935",418,Paperback,"90,899"
193,The Night Circus,Erin Morgenstern,4.01,"1,009,327","First published September 13, 2011","The circus arrives without warning. No announcements precede it. It is simply there, when yesterday it was not. Within the black-and-white striped canvas tents is an utterly unique experience full of breathtaking amazements. It is called Le Cirque des Rêves, and it is only open at night. ","107,655",506,Hardcover,"91,056"
192,"The Selection (The Selection, #1)",Kiera Cass,4.08,"1,613,929","First published April 24, 2012","For thirty-five girls, the Selection is the chance of a lifetime. The opportunity to escape the life laid out for them since birth. To be swept up in a world of glittering gowns and priceless jewels. To live in a palace and compete for the heart of gorgeous Prince Maxon.","81,774",336,Hardcover,"91,199"
190,"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.30,"317,468","First published August 25, 2009","The world thought Dimitri was dead. And to a certain extent, he was. But I hadn't been able to forget a conversation he and I had once had. We'd both agreed that we'd rather be dead - truly dead - than walk the world as Strigoi. It was time to honor our words.","11,564",503,Hardcover,"92,460"
191,The Call of the Wild,Jack London,3.91,"441,137","First published January 1, 1903","First published in 1903, ","16,213",172,Mass Market Paperback,"91,747"
189,The Prophet,Kahlil Gibran,4.23,"306,545","First published January 1, 1923","Kahlil Gibran’s masterpiece, ","15,135",127,Paperback,"93,129"
185,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.65,"2,307,530","First published May 3, 2016","Feyre survived Amarantha's clutches to return to the Spring Court—but at a steep cost. Though she now has the powers of the High Fae, her heart remains human, and it can't forget the terrible deeds she performed to save Tamlin's people.","196,537",626,Kindle Edition,"96,553"
187,Heart of Darkness,Joseph Conrad,3.43,"523,651","First published January 1, 1899","Heart of Darkness, a novel by Joseph Conrad, was originally a three-part series in Blackwood's Magazine in 1899. It is a story within a story, following a character named Charlie Marlow, who recounts his adventure to a group of men onboard an anchored ship. The story told is of his early life as a ferry boat captain. Although his job was to transport ivory downriver, Charlie develops an interest in investing an ivory procurement agent, Kurtz, who is employed by the government. Preceded by his reputation as a brilliant emissary of progress, Kurtz has now established himself as a god among the natives in “one of the darkest places on earth.” Marlow suspects something else of Kurtz: he has gone mad.","21,470",188,Paperback,"95,600"
